rank,value_usd,name,url
1,5501287.40,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE PROMO Pikachu Birthday,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-promo/pikachu-birthday-white-star-2nd-anniv/666077
2,2008674.66,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Dark Charizard-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/dark-charizard-holo/864864
3,1788494.92,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE PROMO GAME BOY Dragonite-Holo,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-promo-game-boy/dragonite-holo/525427
4,1169317.92,Auction Prices Realized Tcg Cards 1999 POKEMON FOSSIL Gengar-Holo,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-fossil/gengar-holo-1st-edition/543980
5,1024381.80,Auction Prices Realized Tcg Cards 1999 POKEMON FOSSIL Dragonite-Holo,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-fossil/dragonite-holo-1st-edition/543978
6,828632.61,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE GYM Misty's Tears,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-gym/mistys-tears-trainer/848235
7,620991.00,Auction Prices Realized Tcg Cards 1997 POKEMON JAPANESE ROCKET Dark Blastoise-Holo,https://www.psacard.com/auctionprices/tcg-cards/1997-pokemon-japanese-rocket/dark-blastoise-holo/544238
8,554033.40,Auction Prices Realized Tcg Cards 1999 POKEMON FOSSIL Haunter-Holo,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-fossil/haunter-holo-1st-edition/543982
9,540200.00,Auction Prices Realized Tcg Cards 1999 POKEMON FOSSIL Articuno-Holo,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-fossil/articuno-holo-1st-edition/543974
10,393745.55,Auction Prices Realized Tcg Cards 1998 POKEMON JAPANESE HANADA CITY GYM DECK Misty's Tears,https://www.psacard.com/auctionprices/tcg-cards/1998-pokemon-japanese-hanada-city-gym-deck/mistys-tears/2322278
